name,country,state,latitude,longitude,population
Aïn Bessem,Algeria,Bouira,36.29333,3.67319,32548
Aïn Beïda,Algeria,Oum el Bouaghi,35.79639,7.39278,116064
Aïn Defla,Algeria,Aïn Defla,36.26405,1.9679,55259
Aïn Fakroun,Algeria,Oum el Bouaghi,35.97108,6.87374,48804
Aïn Kercha,Algeria,Oum el Bouaghi,35.92472,6.69528,30575
Aïn M’Lila,Algeria,Oum el Bouaghi,36.03687,6.57219,65371
Aïn Oulmene,Algeria,Sétif,35.92296,5.29604,51207
Aïn Oussera,Algeria,Djelfa,35.45139,2.90583,98107
Aïn Sefra,Algeria,Naama,32.75,-0.58333,47415
Aïn Smara,Algeria,Constantine,36.2674,6.50135,32057
Aïn Taya,Algeria,Algiers,36.79333,3.28694,33575
Aïn Temouchent,Algeria,Aïn Témouchent,35.29749,-1.14037,70810
Aïn Touta,Algeria,Batna,35.37675,5.90001,55736
Aïn el Bya,Algeria,Oran,35.80389,-0.30178,37241
Bab Ezzouar,Algeria,Algiers,36.72615,3.18291,275630
Babor,Algeria,Sétif,36.48994,5.5393,18445
Baraki,Algeria,Algiers,36.66655,3.09606,105402
Barbacha,Algeria,Béjaïa,36.56667,4.96667,31983
Barika,Algeria,Batna,35.38901,5.36584,98141
Batna,Algeria,Batna,35.55597,6.17414,289504
Ben Mehidi,Algeria,El Tarf,36.76967,7.90641,28398
Beni Amrane,Algeria,Boumerdes,36.66774,3.59115,18414
Beni Douala,Algeria,Tizi Ouzou,36.61954,4.08282,33611
Beni Mered,Algeria,Blida,36.52389,2.86131,92749
Beni Mester,Algeria,Tlemcen,34.87045,-1.42319,19808
Beni Saf,Algeria,Aïn Témouchent,35.30099,-1.38226,39749
Beni Tamou,Algeria,Blida,36.53833,2.82174,33846
Bensekrane,Algeria,Tlemcen,35.07465,-1.22431,21283
Berrahal,Algeria,Annaba,36.83528,7.45333,19294
Berriane,Algeria,Ghardaia,32.82648,3.76689,30170
Berrouaghia,Algeria,Medea,36.13516,2.91085,55775
Besbes,Algeria,El Tarf,36.70222,7.84722,66287
Bir el Ater,Algeria,Tébessa,34.74488,8.06024,70749
Bir el Djir,Algeria,Oran,35.72,-0.545,68032
Birine,Algeria,Djelfa,35.635,3.225,26670
Birkhadem,Algeria,Algiers,36.71499,3.05002,71722
Biskra,Algeria,Biskra,34.85038,5.72805,204661
Blida,Algeria,Blida,36.47004,2.8277,331779
Boghni,Algeria,Tizi Ouzou,36.54222,3.95306,54666
Bordj Bou Arreridj,Algeria,Bordj Bou Arréridj,36.07389,4.76139,158812
Bordj Ghdir,Algeria,Bordj Bou Arréridj,35.90111,4.89806,34136
Bordj Menaïel,Algeria,Boumerdes,36.74328,3.7173,44572
Bordj Zemoura,Algeria,Bordj Bou Arréridj,36.27462,4.85668,19782
Bordj el Bahri,Algeria,Algiers,36.79068,3.24952,52816
Bordj el Kiffan,Algeria,Algiers,36.74871,3.19249,123246
Bou Hadjar,Algeria,El Tarf,36.50373,8.1074,16385
Bou Hanifia el Hamamat,Algeria,Mascara,35.31473,-0.05037,27576
Bou Ismaïl,Algeria,Tipaza,36.64262,2.69007,40984
Bou Saâda,Algeria,M'Sila,35.20855,4.17402,111787
Bou Tlelis,Algeria,Oran,35.57272,-0.8996,26144
Boudjima,Algeria,Tizi Ouzou,36.80218,4.15187,20557
Boudouaou,Algeria,Boumerdes,36.72735,3.40995,56398
Boufarik,Algeria,Blida,36.57413,2.91214,57162
Bougaa,Algeria,Sétif,36.33293,5.08843,31922
Bougara,Algeria,Blida,36.54178,3.081,38352
Bouinan,Algeria,Blida,36.53167,2.99194,30271
Boukadir,Algeria,Chlef,36.06629,1.12602,28652
Boumahra Ahmed,Algeria,Guelma,36.45833,7.51389,23022
Boumerdas,Algeria,Boumerdes,36.76639,3.47717,28996
Bouïra,Algeria,Bouira,36.37489,3.902,68545
Boû Arfa,Algeria,Blida,36.46298,2.81464,44143
Brezina,Algeria,El Bayadh,33.09892,1.26082,19084
Béchar,Algeria,Béchar,31.61667,-2.21667,165241
Béjaïa,Algeria,Béjaïa,36.75587,5.08433,176139
Chabet el Ameur,Algeria,Boumerdes,36.63709,3.69474,19522
Charef,Algeria,Djelfa,34.62098,2.79503,27700
Chebli,Algeria,Blida,36.57722,3.00917,19901
Chelghoum el Aïd,Algeria,Mila,36.16286,6.16651,54495
Chellalat el Adhaouara,Algeria,Medea,35.93968,3.41588,26077
Chemini,Algeria,Béjaïa,36.6,4.61667,21585
Cheraga,Algeria,Algiers,36.76775,2.95924,27835
Cherchell,Algeria,Tipaza,36.605,2.19083,34372
Cheria,Algeria,Tébessa,35.27306,7.75194,66160
Chetouane,Algeria,Tlemcen,34.92129,-1.29512,36776
Chiffa,Algeria,Blida,36.46293,2.73873,23218
Chlef,Algeria,Chlef,36.16525,1.33452,178616
Chorfa,Algeria,Bouira,36.36505,4.32636,20556
Collo,Algeria,Skikda,37.00563,6.56049,29354
Constantine,Algeria,Constantine,36.365,6.61472,448028
